dataset,method,measure,discovery
EWAS1,IHW,sd.b,237
EWAS1,IHW,sd.m,257
EWAS1,IHW,mean,213
EWAS1,IHW,mad,193
EWAS1,IHW,dip,219
EWAS1,IHW,precision,261
EWAS1,IHW,icc.m,124
EWAS1,IHW,icc.b,134
EWAS1,IHW,direction,133
EWAS1,IHW,refgene.pos,123
EWAS1,IHW,cpg.loc,121
EWAS1,IHW,chr,127
EWAS1,IHW,dhs,119
EWAS1,IHW,probe.type,145
EWAS1,CAMT,sd.b,69
EWAS1,CAMT,sd.m,95
EWAS1,CAMT,mean,53
EWAS1,CAMT,mad,68
EWAS1,CAMT,dip,241
EWAS1,CAMT,precision,91
EWAS1,CAMT,icc.m,35
EWAS1,CAMT,icc.b,35
EWAS1,CAMT,direction,27
EWAS1,CAMT,refgene.pos,31
EWAS1,CAMT,cpg.loc,38
EWAS1,CAMT,chr,30
EWAS1,CAMT,dhs,31
EWAS1,CAMT,probe.type,31
EWAS1,FDRreg,sd.b,171
EWAS1,FDRreg,sd.m,168
EWAS1,FDRreg,mean,164
EWAS1,FDRreg,mad,165
EWAS1,FDRreg,dip,167
EWAS1,FDRreg,precision,169
EWAS1,FDRreg,icc.m,173
EWAS1,FDRreg,icc.b,172
EWAS1,FDRreg,direction,162
EWAS1,FDRreg,refgene.pos,162
EWAS1,FDRreg,cpg.loc,162
EWAS1,FDRreg,chr,162
EWAS1,FDRreg,dhs,162
EWAS1,FDRreg,probe.type,162
EWAS1,AdaPT,sd.b,243
EWAS1,AdaPT,sd.m,223
EWAS1,AdaPT,mean,245
EWAS1,AdaPT,mad,107
EWAS1,AdaPT,dip,173
EWAS1,AdaPT,precision,188
EWAS1,AdaPT,icc.m,28
EWAS1,AdaPT,icc.b,28
EWAS1,AdaPT,direction,0
EWAS1,AdaPT,refgene.pos,28
EWAS1,AdaPT,cpg.loc,29
EWAS1,AdaPT,chr,0
EWAS1,AdaPT,dhs,28
EWAS1,AdaPT,probe.type,28
EWAS1,BL,sd.b,167
EWAS1,BL,sd.m,163
EWAS1,BL,mean,159
EWAS1,BL,mad,162
EWAS1,BL,dip,158
EWAS1,BL,precision,166
EWAS1,BL,icc.m,152
EWAS1,BL,icc.b,150
EWAS1,BL,direction,150
EWAS1,BL,refgene.pos,155
EWAS1,BL,cpg.loc,152
EWAS1,BL,chr,154
EWAS1,BL,dhs,153
EWAS1,BL,probe.type,155
EWAS2,IHW,sd.b,26
EWAS2,IHW,sd.m,7
EWAS2,IHW,mean,28
EWAS2,IHW,mad,51
EWAS2,IHW,dip,4
EWAS2,IHW,precision,31
EWAS2,IHW,direction,4
EWAS2,IHW,refgene.pos,4
EWAS2,IHW,cpg.loc,4
EWAS2,IHW,chr,1
EWAS2,IHW,dhs,4
EWAS2,IHW,probe.type,4
EWAS2,CAMT,sd.b,41
EWAS2,CAMT,sd.m,7
EWAS2,CAMT,mean,41
EWAS2,CAMT,mad,49
EWAS2,CAMT,dip,4
EWAS2,CAMT,precision,14
EWAS2,CAMT,direction,3
EWAS2,CAMT,refgene.pos,1
EWAS2,CAMT,cpg.loc,6
EWAS2,CAMT,chr,2
EWAS2,CAMT,dhs,4
EWAS2,CAMT,probe.type,4
EWAS2,FDRreg,sd.b,2
EWAS2,FDRreg,sd.m,2
EWAS2,FDRreg,mean,2
EWAS2,FDRreg,mad,2
EWAS2,FDRreg,dip,2
EWAS2,FDRreg,precision,2
EWAS2,FDRreg,direction,2
EWAS2,FDRreg,refgene.pos,2
EWAS2,FDRreg,cpg.loc,2
EWAS2,FDRreg,chr,2
EWAS2,FDRreg,dhs,2
EWAS2,FDRreg,probe.type,2
EWAS2,AdaPT,sd.b,0
EWAS2,AdaPT,sd.m,0
EWAS2,AdaPT,mean,63
EWAS2,AdaPT,mad,0
EWAS2,AdaPT,dip,0
EWAS2,AdaPT,precision,0
EWAS2,AdaPT,direction,0
EWAS2,AdaPT,refgene.pos,0
EWAS2,AdaPT,cpg.loc,0
EWAS2,AdaPT,chr,0
EWAS2,AdaPT,dhs,0
EWAS2,AdaPT,probe.type,0
EWAS2,BL,sd.b,4
EWAS2,BL,sd.m,4
EWAS2,BL,mean,4
EWAS2,BL,mad,4
EWAS2,BL,dip,4
EWAS2,BL,precision,4
EWAS2,BL,direction,4
EWAS2,BL,refgene.pos,4
EWAS2,BL,cpg.loc,4
EWAS2,BL,chr,4
EWAS2,BL,dhs,4
EWAS2,BL,probe.type,4
EWAS3,IHW,sd.b,0
EWAS3,IHW,sd.m,0
EWAS3,IHW,mean,0
EWAS3,IHW,mad,0
EWAS3,IHW,dip,0
EWAS3,IHW,precision,0
EWAS3,IHW,direction,0
EWAS3,IHW,refgene.pos,0
EWAS3,IHW,cpg.loc,0
EWAS3,IHW,chr,0
EWAS3,IHW,dhs,0
EWAS3,IHW,probe.type,0
EWAS3,CAMT,sd.b,3
EWAS3,CAMT,sd.m,3
EWAS3,CAMT,mean,0
EWAS3,CAMT,mad,6
EWAS3,CAMT,dip,0
EWAS3,CAMT,precision,0
EWAS3,CAMT,direction,0
EWAS3,CAMT,refgene.pos,0
EWAS3,CAMT,cpg.loc,0
EWAS3,CAMT,chr,0
EWAS3,CAMT,dhs,0
EWAS3,CAMT,probe.type,0
EWAS3,FDRreg,sd.b,0
EWAS3,FDRreg,sd.m,0
EWAS3,FDRreg,mean,0
EWAS3,FDRreg,mad,0
EWAS3,FDRreg,dip,0
EWAS3,FDRreg,precision,0
EWAS3,FDRreg,direction,0
EWAS3,FDRreg,refgene.pos,0
EWAS3,FDRreg,cpg.loc,0
EWAS3,FDRreg,chr,0
EWAS3,FDRreg,dhs,0
EWAS3,FDRreg,probe.type,0
EWAS3,AdaPT,sd.b,0
EWAS3,AdaPT,sd.m,0
EWAS3,AdaPT,mean,0
EWAS3,AdaPT,mad,0
EWAS3,AdaPT,dip,0
EWAS3,AdaPT,precision,0
EWAS3,AdaPT,direction,0
EWAS3,AdaPT,refgene.pos,0
EWAS3,AdaPT,cpg.loc,0
EWAS3,AdaPT,chr,0
EWAS3,AdaPT,dhs,0
EWAS3,AdaPT,probe.type,0
EWAS3,BL,sd.b,0
EWAS3,BL,sd.m,0
EWAS3,BL,mean,0
EWAS3,BL,mad,0
EWAS3,BL,dip,0
EWAS3,BL,precision,0
EWAS3,BL,direction,0
EWAS3,BL,refgene.pos,0
EWAS3,BL,cpg.loc,0
EWAS3,BL,chr,0
EWAS3,BL,dhs,0
EWAS3,BL,probe.type,0
EWAS4,IHW,sd.b,4219
EWAS4,IHW,sd.m,4189
EWAS4,IHW,mean,4068
EWAS4,IHW,mad,4097
EWAS4,IHW,dip,4410
EWAS4,IHW,precision,4263
EWAS4,IHW,direction,4039
EWAS4,IHW,refgene.pos,4117
EWAS4,IHW,cpg.loc,4038
EWAS4,IHW,chr,3997
EWAS4,IHW,dhs,4077
EWAS4,IHW,probe.type,4396
EWAS4,CAMT,sd.b,4763
EWAS4,CAMT,sd.m,4868
EWAS4,CAMT,mean,4944
EWAS4,CAMT,mad,4636
EWAS4,CAMT,dip,5133
EWAS4,CAMT,precision,5058
EWAS4,CAMT,direction,4664
EWAS4,CAMT,refgene.pos,4735
EWAS4,CAMT,cpg.loc,4759
EWAS4,CAMT,chr,4874
EWAS4,CAMT,dhs,4755
EWAS4,CAMT,probe.type,4909
EWAS4,FDRreg,sd.b,4619
EWAS4,FDRreg,sd.m,4619
EWAS4,FDRreg,mean,4599
EWAS4,FDRreg,mad,4602
EWAS4,FDRreg,dip,4678
EWAS4,FDRreg,precision,4627
EWAS4,FDRreg,direction,4597
EWAS4,FDRreg,refgene.pos,4602
EWAS4,FDRreg,cpg.loc,4602
EWAS4,FDRreg,chr,4595
EWAS4,FDRreg,dhs,4595
EWAS4,FDRreg,probe.type,4627
EWAS4,AdaPT,sd.b,4321
EWAS4,AdaPT,sd.m,4563
EWAS4,AdaPT,mean,4588
EWAS4,AdaPT,mad,4369
EWAS4,AdaPT,dip,4688
EWAS4,AdaPT,precision,4611
EWAS4,AdaPT,direction,4646
EWAS4,AdaPT,refgene.pos,4433
EWAS4,AdaPT,cpg.loc,4709
EWAS4,AdaPT,chr,4743
EWAS4,AdaPT,dhs,4762
EWAS4,AdaPT,probe.type,4714
EWAS4,BL,sd.b,5018
EWAS4,BL,sd.m,5010
EWAS4,BL,mean,4996
EWAS4,BL,mad,4983
EWAS4,BL,dip,5026
EWAS4,BL,precision,5049
EWAS4,BL,direction,4961
EWAS4,BL,refgene.pos,4973
EWAS4,BL,cpg.loc,4962
EWAS4,BL,chr,4948
EWAS4,BL,dhs,4960
EWAS4,BL,probe.type,5031
EWAS5,IHW,sd.b,4854
EWAS5,IHW,sd.m,4295
EWAS5,IHW,mean,4798
EWAS5,IHW,mad,4671
EWAS5,IHW,dip,4161
EWAS5,IHW,precision,4661
EWAS5,IHW,direction,4209
EWAS5,IHW,refgene.pos,4222
EWAS5,IHW,cpg.loc,4270
EWAS5,IHW,chr,4188
EWAS5,IHW,dhs,4151
EWAS5,IHW,probe.type,4372
EWAS5,CAMT,sd.b,8192
EWAS5,CAMT,sd.m,7850
EWAS5,CAMT,mean,8873
EWAS5,CAMT,mad,8475
EWAS5,CAMT,dip,7789
EWAS5,CAMT,precision,7622
EWAS5,CAMT,direction,7671
EWAS5,CAMT,refgene.pos,7727
EWAS5,CAMT,cpg.loc,7515
EWAS5,CAMT,chr,7902
EWAS5,CAMT,dhs,7750
EWAS5,CAMT,probe.type,8091
EWAS5,FDRreg,sd.b,5772
EWAS5,FDRreg,sd.m,5692
EWAS5,FDRreg,mean,5805
EWAS5,FDRreg,mad,5768
EWAS5,FDRreg,dip,5695
EWAS5,FDRreg,precision,5751
EWAS5,FDRreg,direction,5692
EWAS5,FDRreg,refgene.pos,5690
EWAS5,FDRreg,cpg.loc,5702
EWAS5,FDRreg,chr,5697
EWAS5,FDRreg,dhs,5685
EWAS5,FDRreg,probe.type,5710
EWAS5,AdaPT,sd.b,8305
EWAS5,AdaPT,sd.m,7641
EWAS5,AdaPT,mean,8671
EWAS5,AdaPT,mad,8430
EWAS5,AdaPT,dip,7767
EWAS5,AdaPT,precision,7903
EWAS5,AdaPT,direction,7824
EWAS5,AdaPT,refgene.pos,7493
EWAS5,AdaPT,cpg.loc,7341
EWAS5,AdaPT,chr,7905
EWAS5,AdaPT,dhs,7781
EWAS5,AdaPT,probe.type,7902
EWAS5,BL,sd.b,6520
EWAS5,BL,sd.m,6397
EWAS5,BL,mean,6557
EWAS5,BL,mad,6505
EWAS5,BL,dip,6428
EWAS5,BL,precision,6433
EWAS5,BL,direction,6416
EWAS5,BL,refgene.pos,6424
EWAS5,BL,cpg.loc,6419
EWAS5,BL,chr,6428
EWAS5,BL,dhs,6430
EWAS5,BL,probe.type,6465
EWAS6,IHW,sd.b,0
EWAS6,IHW,sd.m,0
EWAS6,IHW,mean,0
EWAS6,IHW,mad,0
EWAS6,IHW,dip,0
EWAS6,IHW,precision,0
EWAS6,IHW,direction,0
EWAS6,IHW,refgene.pos,0
EWAS6,IHW,cpg.loc,0
EWAS6,IHW,chr,0
EWAS6,IHW,dhs,0
EWAS6,IHW,probe.type,0
EWAS6,CAMT,sd.b,0
EWAS6,CAMT,sd.m,0
EWAS6,CAMT,mean,0
EWAS6,CAMT,mad,0
EWAS6,CAMT,dip,0
EWAS6,CAMT,precision,0
EWAS6,CAMT,direction,0
EWAS6,CAMT,refgene.pos,0
EWAS6,CAMT,cpg.loc,0
EWAS6,CAMT,chr,0
EWAS6,CAMT,dhs,0
EWAS6,CAMT,probe.type,0
EWAS6,FDRreg,sd.b,0
EWAS6,FDRreg,sd.m,0
EWAS6,FDRreg,mean,0
EWAS6,FDRreg,mad,0
EWAS6,FDRreg,dip,0
EWAS6,FDRreg,precision,0
EWAS6,FDRreg,direction,0
EWAS6,FDRreg,refgene.pos,0
EWAS6,FDRreg,cpg.loc,0
EWAS6,FDRreg,chr,0
EWAS6,FDRreg,dhs,0
EWAS6,FDRreg,probe.type,0
EWAS6,AdaPT,sd.b,0
EWAS6,AdaPT,sd.m,0
EWAS6,AdaPT,mean,0
EWAS6,AdaPT,mad,0
EWAS6,AdaPT,dip,0
EWAS6,AdaPT,precision,0
EWAS6,AdaPT,direction,0
EWAS6,AdaPT,refgene.pos,0
EWAS6,AdaPT,cpg.loc,0
EWAS6,AdaPT,chr,0
EWAS6,AdaPT,dhs,0
EWAS6,AdaPT,probe.type,0
EWAS6,BL,sd.b,0
EWAS6,BL,sd.m,0
EWAS6,BL,mean,0
EWAS6,BL,mad,0
EWAS6,BL,dip,0
EWAS6,BL,precision,0
EWAS6,BL,direction,0
EWAS6,BL,refgene.pos,0
EWAS6,BL,cpg.loc,0
EWAS6,BL,chr,0
EWAS6,BL,dhs,0
EWAS6,BL,probe.type,0
EWAS7,IHW,sd.b,23
EWAS7,IHW,sd.m,9
EWAS7,IHW,mean,8
EWAS7,IHW,mad,9
EWAS7,IHW,dip,9
EWAS7,IHW,precision,5
EWAS7,IHW,direction,7
EWAS7,IHW,refgene.pos,9
EWAS7,IHW,cpg.loc,9
EWAS7,IHW,chr,8
EWAS7,IHW,dhs,9
EWAS7,IHW,probe.type,9
EWAS7,CAMT,sd.b,9
EWAS7,CAMT,sd.m,8
EWAS7,CAMT,mean,23
EWAS7,CAMT,mad,15
EWAS7,CAMT,dip,14
EWAS7,CAMT,precision,6
EWAS7,CAMT,direction,9
EWAS7,CAMT,refgene.pos,8
EWAS7,CAMT,cpg.loc,6
EWAS7,CAMT,chr,14
EWAS7,CAMT,dhs,10
EWAS7,CAMT,probe.type,9
EWAS7,FDRreg,sd.b,11
EWAS7,FDRreg,sd.m,11
EWAS7,FDRreg,mean,11
EWAS7,FDRreg,mad,11
EWAS7,FDRreg,dip,11
EWAS7,FDRreg,precision,11
EWAS7,FDRreg,direction,11
EWAS7,FDRreg,refgene.pos,11
EWAS7,FDRreg,cpg.loc,11
EWAS7,FDRreg,chr,11
EWAS7,FDRreg,dhs,11
EWAS7,FDRreg,probe.type,11
EWAS7,AdaPT,sd.b,0
EWAS7,AdaPT,sd.m,0
EWAS7,AdaPT,mean,0
EWAS7,AdaPT,mad,0
EWAS7,AdaPT,dip,0
EWAS7,AdaPT,precision,0
EWAS7,AdaPT,direction,0
EWAS7,AdaPT,refgene.pos,0
EWAS7,AdaPT,cpg.loc,0
EWAS7,AdaPT,chr,0
EWAS7,AdaPT,dhs,0
EWAS7,AdaPT,probe.type,21
EWAS7,BL,sd.b,9
EWAS7,BL,sd.m,9
EWAS7,BL,mean,9
EWAS7,BL,mad,9
EWAS7,BL,dip,9
EWAS7,BL,precision,9
EWAS7,BL,direction,9
EWAS7,BL,refgene.pos,9
EWAS7,BL,cpg.loc,9
EWAS7,BL,chr,9
EWAS7,BL,dhs,9
EWAS7,BL,probe.type,9
EWAS8,IHW,sd.b,50
EWAS8,IHW,sd.m,48
EWAS8,IHW,mean,49
EWAS8,IHW,mad,48
EWAS8,IHW,dip,47
EWAS8,IHW,precision,49
EWAS8,IHW,direction,50
EWAS8,IHW,refgene.pos,47
EWAS8,IHW,cpg.loc,47
EWAS8,IHW,chr,50
EWAS8,IHW,dhs,47
EWAS8,IHW,probe.type,47
EWAS8,CAMT,sd.b,47
EWAS8,CAMT,sd.m,49
EWAS8,CAMT,mean,52
EWAS8,CAMT,mad,49
EWAS8,CAMT,dip,45
EWAS8,CAMT,precision,53
EWAS8,CAMT,direction,50
EWAS8,CAMT,refgene.pos,46
EWAS8,CAMT,cpg.loc,47
EWAS8,CAMT,chr,50
EWAS8,CAMT,dhs,49
EWAS8,CAMT,probe.type,48
EWAS8,FDRreg,sd.b,48
EWAS8,FDRreg,sd.m,48
EWAS8,FDRreg,mean,48
EWAS8,FDRreg,mad,48
EWAS8,FDRreg,dip,48
EWAS8,FDRreg,precision,48
EWAS8,FDRreg,direction,48
EWAS8,FDRreg,refgene.pos,48
EWAS8,FDRreg,cpg.loc,48
EWAS8,FDRreg,chr,48
EWAS8,FDRreg,dhs,48
EWAS8,FDRreg,probe.type,48
EWAS8,AdaPT,sd.b,44
EWAS8,AdaPT,sd.m,42
EWAS8,AdaPT,mean,23
EWAS8,AdaPT,mad,0
EWAS8,AdaPT,dip,0
EWAS8,AdaPT,precision,43
EWAS8,AdaPT,direction,54
EWAS8,AdaPT,refgene.pos,0
EWAS8,AdaPT,cpg.loc,0
EWAS8,AdaPT,chr,47
EWAS8,AdaPT,dhs,47
EWAS8,AdaPT,probe.type,27
EWAS8,BL,sd.b,47
EWAS8,BL,sd.m,47
EWAS8,BL,mean,47
EWAS8,BL,mad,47
EWAS8,BL,dip,47
EWAS8,BL,precision,47
EWAS8,BL,direction,47
EWAS8,BL,refgene.pos,47
EWAS8,BL,cpg.loc,47
EWAS8,BL,chr,47
EWAS8,BL,dhs,47
EWAS8,BL,probe.type,47
EWAS9,IHW,sd.b,7
EWAS9,IHW,sd.m,1
EWAS9,IHW,mean,0
EWAS9,IHW,mad,3
EWAS9,IHW,dip,0
EWAS9,IHW,precision,7
EWAS9,IHW,direction,1
EWAS9,IHW,refgene.pos,1
EWAS9,IHW,cpg.loc,1
EWAS9,IHW,chr,6
EWAS9,IHW,dhs,1
EWAS9,IHW,probe.type,1
EWAS9,CAMT,sd.b,9
EWAS9,CAMT,sd.m,8
EWAS9,CAMT,mean,4
EWAS9,CAMT,mad,12
EWAS9,CAMT,dip,1
EWAS9,CAMT,precision,6
EWAS9,CAMT,direction,1
EWAS9,CAMT,refgene.pos,1
EWAS9,CAMT,cpg.loc,1
EWAS9,CAMT,chr,5
EWAS9,CAMT,dhs,1
EWAS9,CAMT,probe.type,3
EWAS9,FDRreg,sd.b,1
EWAS9,FDRreg,sd.m,1
EWAS9,FDRreg,mean,1
EWAS9,FDRreg,mad,1
EWAS9,FDRreg,dip,1
EWAS9,FDRreg,precision,1
EWAS9,FDRreg,direction,1
EWAS9,FDRreg,refgene.pos,1
EWAS9,FDRreg,cpg.loc,1
EWAS9,FDRreg,chr,1
EWAS9,FDRreg,dhs,1
EWAS9,FDRreg,probe.type,1
EWAS9,AdaPT,sd.b,0
EWAS9,AdaPT,sd.m,0
EWAS9,AdaPT,mean,0
EWAS9,AdaPT,mad,0
EWAS9,AdaPT,dip,0
EWAS9,AdaPT,precision,0
EWAS9,AdaPT,direction,0
EWAS9,AdaPT,refgene.pos,0
EWAS9,AdaPT,cpg.loc,0
EWAS9,AdaPT,chr,0
EWAS9,AdaPT,dhs,0
EWAS9,AdaPT,probe.type,0
EWAS9,BL,sd.b,1
EWAS9,BL,sd.m,1
EWAS9,BL,mean,1
EWAS9,BL,mad,1
EWAS9,BL,dip,1
EWAS9,BL,precision,1
EWAS9,BL,direction,1
EWAS9,BL,refgene.pos,1
EWAS9,BL,cpg.loc,1
EWAS9,BL,chr,1
EWAS9,BL,dhs,1
EWAS9,BL,probe.type,1
EWAS10,IHW,sd.b,1
EWAS10,IHW,sd.m,1
EWAS10,IHW,mean,1
EWAS10,IHW,mad,1
EWAS10,IHW,dip,1
EWAS10,IHW,precision,1
EWAS10,IHW,direction,1
EWAS10,IHW,refgene.pos,1
EWAS10,IHW,cpg.loc,1
EWAS10,IHW,chr,1
EWAS10,IHW,dhs,1
EWAS10,IHW,probe.type,1
EWAS10,CAMT,sd.b,1
EWAS10,CAMT,sd.m,1
EWAS10,CAMT,mean,1
EWAS10,CAMT,mad,1
EWAS10,CAMT,dip,1
EWAS10,CAMT,precision,1
EWAS10,CAMT,direction,1
EWAS10,CAMT,refgene.pos,1
EWAS10,CAMT,cpg.loc,1
EWAS10,CAMT,chr,2
EWAS10,CAMT,dhs,1
EWAS10,CAMT,probe.type,1
EWAS10,FDRreg,sd.b,1
EWAS10,FDRreg,sd.m,1
EWAS10,FDRreg,mean,1
EWAS10,FDRreg,mad,1
EWAS10,FDRreg,dip,1
EWAS10,FDRreg,precision,1
EWAS10,FDRreg,direction,1
EWAS10,FDRreg,refgene.pos,1
EWAS10,FDRreg,cpg.loc,1
EWAS10,FDRreg,chr,1
EWAS10,FDRreg,dhs,1
EWAS10,FDRreg,probe.type,1
EWAS10,AdaPT,sd.b,0
EWAS10,AdaPT,sd.m,0
EWAS10,AdaPT,mean,0
EWAS10,AdaPT,mad,0
EWAS10,AdaPT,dip,0
EWAS10,AdaPT,precision,0
EWAS10,AdaPT,direction,0
EWAS10,AdaPT,refgene.pos,0
EWAS10,AdaPT,cpg.loc,0
EWAS10,AdaPT,chr,0
EWAS10,AdaPT,dhs,0
EWAS10,AdaPT,probe.type,0
EWAS10,BL,sd.b,1
EWAS10,BL,sd.m,1
EWAS10,BL,mean,1
EWAS10,BL,mad,1
EWAS10,BL,dip,1
EWAS10,BL,precision,1
EWAS10,BL,direction,1
EWAS10,BL,refgene.pos,1
EWAS10,BL,cpg.loc,1
EWAS10,BL,chr,1
EWAS10,BL,dhs,1
EWAS10,BL,probe.type,1
EWAS11,IHW,sd.b,1
EWAS11,IHW,sd.m,0
EWAS11,IHW,mean,0
EWAS11,IHW,mad,1
EWAS11,IHW,dip,1
EWAS11,IHW,precision,1
EWAS11,IHW,direction,1
EWAS11,IHW,refgene.pos,1
EWAS11,IHW,cpg.loc,1
EWAS11,IHW,chr,1
EWAS11,IHW,dhs,1
EWAS11,IHW,probe.type,1
EWAS11,CAMT,sd.b,0
EWAS11,CAMT,sd.m,0
EWAS11,CAMT,mean,1
EWAS11,CAMT,mad,0
EWAS11,CAMT,dip,1
EWAS11,CAMT,precision,0
EWAS11,CAMT,direction,1
EWAS11,CAMT,refgene.pos,1
EWAS11,CAMT,cpg.loc,1
EWAS11,CAMT,chr,1
EWAS11,CAMT,dhs,1
EWAS11,CAMT,probe.type,1
EWAS11,FDRreg,sd.b,0
EWAS11,FDRreg,sd.m,0
EWAS11,FDRreg,mean,0
EWAS11,FDRreg,mad,0
EWAS11,FDRreg,dip,0
EWAS11,FDRreg,precision,0
EWAS11,FDRreg,direction,0
EWAS11,FDRreg,refgene.pos,0
EWAS11,FDRreg,cpg.loc,0
EWAS11,FDRreg,chr,0
EWAS11,FDRreg,dhs,0
EWAS11,FDRreg,probe.type,0
EWAS11,AdaPT,sd.b,0
EWAS11,AdaPT,sd.m,0
EWAS11,AdaPT,mean,0
EWAS11,AdaPT,mad,0
EWAS11,AdaPT,dip,0
EWAS11,AdaPT,precision,0
EWAS11,AdaPT,direction,0
EWAS11,AdaPT,refgene.pos,0
EWAS11,AdaPT,cpg.loc,0
EWAS11,AdaPT,chr,0
EWAS11,AdaPT,dhs,0
EWAS11,AdaPT,probe.type,0
EWAS11,BL,sd.b,1
EWAS11,BL,sd.m,1
EWAS11,BL,mean,1
EWAS11,BL,mad,1
EWAS11,BL,dip,1
EWAS11,BL,precision,1
EWAS11,BL,direction,1
EWAS11,BL,refgene.pos,1
EWAS11,BL,cpg.loc,1
EWAS11,BL,chr,1
EWAS11,BL,dhs,1
EWAS11,BL,probe.type,1
EWAS12,IHW,sd.b,27
EWAS12,IHW,sd.m,21
EWAS12,IHW,mean,29
EWAS12,IHW,mad,27
EWAS12,IHW,dip,21
EWAS12,IHW,precision,21
EWAS12,IHW,direction,24
EWAS12,IHW,refgene.pos,21
EWAS12,IHW,cpg.loc,21
EWAS12,IHW,chr,21
EWAS12,IHW,dhs,20
EWAS12,IHW,probe.type,21
EWAS12,CAMT,sd.b,27
EWAS12,CAMT,sd.m,14
EWAS12,CAMT,mean,36
EWAS12,CAMT,mad,29
EWAS12,CAMT,dip,21
EWAS12,CAMT,precision,22
EWAS12,CAMT,direction,12
EWAS12,CAMT,refgene.pos,22
EWAS12,CAMT,cpg.loc,14
EWAS12,CAMT,chr,24
EWAS12,CAMT,dhs,21
EWAS12,CAMT,probe.type,21
EWAS12,FDRreg,sd.b,19
EWAS12,FDRreg,sd.m,19
EWAS12,FDRreg,mean,19
EWAS12,FDRreg,mad,19
EWAS12,FDRreg,dip,19
EWAS12,FDRreg,precision,19
EWAS12,FDRreg,direction,19
EWAS12,FDRreg,refgene.pos,19
EWAS12,FDRreg,cpg.loc,19
EWAS12,FDRreg,chr,19
EWAS12,FDRreg,dhs,19
EWAS12,FDRreg,probe.type,19
EWAS12,AdaPT,sd.b,24
EWAS12,AdaPT,sd.m,0
EWAS12,AdaPT,mean,0
EWAS12,AdaPT,mad,25
EWAS12,AdaPT,dip,0
EWAS12,AdaPT,precision,29
EWAS12,AdaPT,direction,0
EWAS12,AdaPT,refgene.pos,0
EWAS12,AdaPT,cpg.loc,28
EWAS12,AdaPT,chr,0
EWAS12,AdaPT,dhs,0
EWAS12,AdaPT,probe.type,0
EWAS12,BL,sd.b,21
EWAS12,BL,sd.m,21
EWAS12,BL,mean,21
EWAS12,BL,mad,21
EWAS12,BL,dip,21
EWAS12,BL,precision,21
EWAS12,BL,direction,22
EWAS12,BL,refgene.pos,21
EWAS12,BL,cpg.loc,22
EWAS12,BL,chr,21
EWAS12,BL,dhs,21
EWAS12,BL,probe.type,22
EWAS13,IHW,sd.b,2
EWAS13,IHW,sd.m,2
EWAS13,IHW,mean,2
EWAS13,IHW,mad,2
EWAS13,IHW,dip,2
EWAS13,IHW,precision,2
EWAS13,IHW,direction,2
EWAS13,IHW,refgene.pos,0
EWAS13,IHW,cpg.loc,4
EWAS13,IHW,chr,3
EWAS13,IHW,dhs,2
EWAS13,IHW,probe.type,2
EWAS13,CAMT,sd.b,11
EWAS13,CAMT,sd.m,7
EWAS13,CAMT,mean,1
EWAS13,CAMT,mad,0
EWAS13,CAMT,dip,2
EWAS13,CAMT,precision,9
EWAS13,CAMT,direction,0
EWAS13,CAMT,refgene.pos,2
EWAS13,CAMT,cpg.loc,2
EWAS13,CAMT,chr,5
EWAS13,CAMT,dhs,2
EWAS13,CAMT,probe.type,2
EWAS13,FDRreg,sd.b,0
EWAS13,FDRreg,sd.m,0
EWAS13,FDRreg,mean,0
EWAS13,FDRreg,mad,0
EWAS13,FDRreg,dip,0
EWAS13,FDRreg,precision,0
EWAS13,FDRreg,direction,0
EWAS13,FDRreg,refgene.pos,0
EWAS13,FDRreg,cpg.loc,0
EWAS13,FDRreg,chr,0
EWAS13,FDRreg,dhs,0
EWAS13,FDRreg,probe.type,0
