dataset,method,measure,discovery
EWAS13,AdaPT,sd.b,0
EWAS13,AdaPT,sd.m,0
EWAS13,AdaPT,mean,0
EWAS13,AdaPT,mad,0
EWAS13,AdaPT,dip,0
EWAS13,AdaPT,precision,0
EWAS13,AdaPT,direction,0
EWAS13,AdaPT,refgene.pos,0
EWAS13,AdaPT,cpg.loc,0
EWAS13,AdaPT,chr,0
EWAS13,AdaPT,dhs,0
EWAS13,AdaPT,probe.type,0
EWAS13,BL,sd.b,2
EWAS13,BL,sd.m,2
EWAS13,BL,mean,2
EWAS13,BL,mad,2
EWAS13,BL,dip,2
EWAS13,BL,precision,2
EWAS13,BL,direction,2
EWAS13,BL,refgene.pos,2
EWAS13,BL,cpg.loc,2
EWAS13,BL,chr,2
EWAS13,BL,dhs,2
EWAS13,BL,probe.type,2
EWAS14,IHW,sd.b,73426
EWAS14,IHW,sd.m,72684
EWAS14,IHW,mean,74432
EWAS14,IHW,mad,73234
EWAS14,IHW,dip,71665
EWAS14,IHW,precision,71807
EWAS14,IHW,direction,71279
EWAS14,IHW,refgene.pos,71476
EWAS14,IHW,cpg.loc,71340
EWAS14,IHW,chr,71189
EWAS14,IHW,dhs,71226
EWAS14,IHW,probe.type,71394
EWAS14,CAMT,sd.b,85937
EWAS14,CAMT,sd.m,84051
EWAS14,CAMT,mean,88972
EWAS14,CAMT,mad,85901
EWAS14,CAMT,dip,81423
EWAS14,CAMT,precision,81607
EWAS14,CAMT,direction,80687
EWAS14,CAMT,refgene.pos,80888
EWAS14,CAMT,cpg.loc,80984
EWAS14,CAMT,chr,80641
EWAS14,CAMT,dhs,80782
EWAS14,CAMT,probe.type,81021
EWAS14,FDRreg,sd.b,80603
EWAS14,FDRreg,sd.m,79029
EWAS14,FDRreg,mean,82367
EWAS14,FDRreg,mad,80757
EWAS14,FDRreg,dip,78235
EWAS14,FDRreg,precision,78841
EWAS14,FDRreg,direction,77935
EWAS14,FDRreg,refgene.pos,78074
EWAS14,FDRreg,cpg.loc,78188
EWAS14,FDRreg,chr,77959
EWAS14,FDRreg,dhs,78019
EWAS14,FDRreg,probe.type,78151
EWAS14,AdaPT,sd.b,85870
EWAS14,AdaPT,sd.m,84007
EWAS14,AdaPT,mean,88791
EWAS14,AdaPT,mad,86084
EWAS14,AdaPT,dip,81682
EWAS14,AdaPT,precision,81740
EWAS14,AdaPT,direction,80667
EWAS14,AdaPT,refgene.pos,81001
EWAS14,AdaPT,cpg.loc,80824
EWAS14,AdaPT,chr,80572
EWAS14,AdaPT,dhs,80782
EWAS14,AdaPT,probe.type,81008
EWAS14,BL,sd.b,83193
EWAS14,BL,sd.m,81708
EWAS14,BL,mean,85075
EWAS14,BL,mad,83300
EWAS14,BL,dip,80622
EWAS14,BL,precision,81005
EWAS14,BL,direction,80220
EWAS14,BL,refgene.pos,80424
EWAS14,BL,cpg.loc,80546
EWAS14,BL,chr,80200
EWAS14,BL,dhs,80318
EWAS14,BL,probe.type,80509
EWAS15,IHW,sd.b,1
EWAS15,IHW,sd.m,1
EWAS15,IHW,mean,2
EWAS15,IHW,mad,1
EWAS15,IHW,dip,1
EWAS15,IHW,precision,1
EWAS15,IHW,direction,1
EWAS15,IHW,refgene.pos,1
EWAS15,IHW,cpg.loc,1
EWAS15,IHW,chr,1
EWAS15,IHW,dhs,1
EWAS15,IHW,probe.type,1
EWAS15,CAMT,sd.b,1
EWAS15,CAMT,sd.m,1
EWAS15,CAMT,mean,2
EWAS15,CAMT,mad,1
EWAS15,CAMT,dip,1
EWAS15,CAMT,precision,1
EWAS15,CAMT,direction,3
EWAS15,CAMT,refgene.pos,0
EWAS15,CAMT,cpg.loc,3
EWAS15,CAMT,chr,2
EWAS15,CAMT,dhs,1
EWAS15,CAMT,probe.type,1
EWAS15,FDRreg,sd.b,0
EWAS15,FDRreg,sd.m,0
EWAS15,FDRreg,mean,0
EWAS15,FDRreg,mad,0
EWAS15,FDRreg,dip,0
EWAS15,FDRreg,precision,0
EWAS15,FDRreg,direction,0
EWAS15,FDRreg,refgene.pos,0
EWAS15,FDRreg,cpg.loc,0
EWAS15,FDRreg,chr,0
EWAS15,FDRreg,dhs,0
EWAS15,FDRreg,probe.type,0
EWAS15,AdaPT,sd.b,0
EWAS15,AdaPT,sd.m,0
EWAS15,AdaPT,mean,0
EWAS15,AdaPT,mad,0
EWAS15,AdaPT,dip,0
EWAS15,AdaPT,precision,0
EWAS15,AdaPT,direction,0
EWAS15,AdaPT,refgene.pos,0
EWAS15,AdaPT,cpg.loc,0
EWAS15,AdaPT,chr,0
EWAS15,AdaPT,dhs,0
EWAS15,AdaPT,probe.type,0
EWAS15,BL,sd.b,1
EWAS15,BL,sd.m,1
EWAS15,BL,mean,1
EWAS15,BL,mad,1
EWAS15,BL,dip,1
EWAS15,BL,precision,3
EWAS15,BL,direction,1
EWAS15,BL,refgene.pos,1
EWAS15,BL,cpg.loc,1
EWAS15,BL,chr,1
EWAS15,BL,dhs,1
EWAS15,BL,probe.type,1
EWAS16,IHW,sd.b,48
EWAS16,IHW,sd.m,24
EWAS16,IHW,mean,56
EWAS16,IHW,mad,52
EWAS16,IHW,dip,23
EWAS16,IHW,precision,40
EWAS16,IHW,direction,38
EWAS16,IHW,refgene.pos,24
EWAS16,IHW,cpg.loc,37
EWAS16,IHW,chr,36
EWAS16,IHW,dhs,39
EWAS16,IHW,probe.type,25
EWAS16,CAMT,sd.b,61
EWAS16,CAMT,sd.m,21
EWAS16,CAMT,mean,69
EWAS16,CAMT,mad,60
EWAS16,CAMT,dip,15
EWAS16,CAMT,precision,51
EWAS16,CAMT,direction,12
EWAS16,CAMT,refgene.pos,8
EWAS16,CAMT,cpg.loc,13
EWAS16,CAMT,chr,15
EWAS16,CAMT,dhs,10
EWAS16,CAMT,probe.type,9
EWAS16,FDRreg,sd.b,27
EWAS16,FDRreg,sd.m,27
EWAS16,FDRreg,mean,27
EWAS16,FDRreg,mad,27
EWAS16,FDRreg,dip,26
EWAS16,FDRreg,precision,27
EWAS16,FDRreg,direction,26
EWAS16,FDRreg,refgene.pos,26
EWAS16,FDRreg,cpg.loc,26
EWAS16,FDRreg,chr,26
EWAS16,FDRreg,dhs,26
EWAS16,FDRreg,probe.type,26
EWAS16,AdaPT,sd.b,0
EWAS16,AdaPT,sd.m,0
EWAS16,AdaPT,mean,27
EWAS16,AdaPT,mad,0
EWAS16,AdaPT,dip,0
EWAS16,AdaPT,precision,0
EWAS16,AdaPT,direction,0
EWAS16,AdaPT,refgene.pos,0
EWAS16,AdaPT,cpg.loc,41
EWAS16,AdaPT,chr,0
EWAS16,AdaPT,dhs,0
EWAS16,AdaPT,probe.type,0
EWAS16,BL,sd.b,40
EWAS16,BL,sd.m,40
EWAS16,BL,mean,41
EWAS16,BL,mad,40
EWAS16,BL,dip,40
EWAS16,BL,precision,40
EWAS16,BL,direction,40
EWAS16,BL,refgene.pos,40
EWAS16,BL,cpg.loc,40
EWAS16,BL,chr,41
EWAS16,BL,dhs,40
EWAS16,BL,probe.type,40
EWAS17,IHW,sd.b,4016
EWAS17,IHW,sd.m,3815
EWAS17,IHW,mean,4905
EWAS17,IHW,mad,3910
EWAS17,IHW,dip,3812
EWAS17,IHW,precision,3952
EWAS17,IHW,direction,4381
EWAS17,IHW,refgene.pos,4054
EWAS17,IHW,cpg.loc,4095
EWAS17,IHW,chr,3824
EWAS17,IHW,dhs,3848
EWAS17,IHW,probe.type,3836
EWAS17,CAMT,sd.b,4331
EWAS17,CAMT,sd.m,4058
EWAS17,CAMT,mean,5729
EWAS17,CAMT,mad,4268
EWAS17,CAMT,dip,4113
EWAS17,CAMT,precision,4157
EWAS17,CAMT,direction,4897
EWAS17,CAMT,refgene.pos,4591
EWAS17,CAMT,cpg.loc,4561
EWAS17,CAMT,chr,4088
EWAS17,CAMT,dhs,4107
EWAS17,CAMT,probe.type,4089
EWAS17,FDRreg,sd.b,4132
EWAS17,FDRreg,sd.m,4128
EWAS17,FDRreg,mean,4228
EWAS17,FDRreg,mad,4131
EWAS17,FDRreg,dip,4120
EWAS17,FDRreg,precision,4131
EWAS17,FDRreg,direction,4168
EWAS17,FDRreg,refgene.pos,4138
EWAS17,FDRreg,cpg.loc,4144
EWAS17,FDRreg,chr,4120
EWAS17,FDRreg,dhs,4120
EWAS17,FDRreg,probe.type,4119
EWAS17,AdaPT,sd.b,3968
EWAS17,AdaPT,sd.m,3911
EWAS17,AdaPT,mean,5457
EWAS17,AdaPT,mad,4116
EWAS17,AdaPT,dip,4087
EWAS17,AdaPT,precision,3892
EWAS17,AdaPT,direction,4802
EWAS17,AdaPT,refgene.pos,4293
EWAS17,AdaPT,cpg.loc,4383
EWAS17,AdaPT,chr,3965
EWAS17,AdaPT,dhs,4084
EWAS17,AdaPT,probe.type,4051
EWAS17,BL,sd.b,4376
EWAS17,BL,sd.m,4367
EWAS17,BL,mean,4493
EWAS17,BL,mad,4366
EWAS17,BL,dip,4358
EWAS17,BL,precision,4370
EWAS17,BL,direction,4420
EWAS17,BL,refgene.pos,4389
EWAS17,BL,cpg.loc,4389
EWAS17,BL,chr,4357
EWAS17,BL,dhs,4359
EWAS17,BL,probe.type,4364
EWAS18,IHW,sd.b,478
EWAS18,IHW,sd.m,327
EWAS18,IHW,mean,548
EWAS18,IHW,mad,272
EWAS18,IHW,dip,312
EWAS18,IHW,precision,533
EWAS18,IHW,direction,330
EWAS18,IHW,refgene.pos,230
EWAS18,IHW,cpg.loc,275
EWAS18,IHW,chr,227
EWAS18,IHW,dhs,229
EWAS18,IHW,probe.type,220
EWAS18,CAMT,sd.b,546
EWAS18,CAMT,sd.m,443
EWAS18,CAMT,mean,685
EWAS18,CAMT,mad,397
EWAS18,CAMT,dip,384
EWAS18,CAMT,precision,618
EWAS18,CAMT,direction,369
EWAS18,CAMT,refgene.pos,266
EWAS18,CAMT,cpg.loc,319
EWAS18,CAMT,chr,219
EWAS18,CAMT,dhs,232
EWAS18,CAMT,probe.type,231
EWAS18,FDRreg,sd.b,230
EWAS18,FDRreg,sd.m,229
EWAS18,FDRreg,mean,230
EWAS18,FDRreg,mad,235
EWAS18,FDRreg,dip,231
EWAS18,FDRreg,precision,229
EWAS18,FDRreg,direction,228
EWAS18,FDRreg,refgene.pos,228
EWAS18,FDRreg,cpg.loc,228
EWAS18,FDRreg,chr,228
EWAS18,FDRreg,dhs,228
EWAS18,FDRreg,probe.type,228
EWAS18,AdaPT,sd.b,0
EWAS18,AdaPT,sd.m,184
EWAS18,AdaPT,mean,144
EWAS18,AdaPT,mad,124
EWAS18,AdaPT,dip,186
EWAS18,AdaPT,precision,350
EWAS18,AdaPT,direction,404
EWAS18,AdaPT,refgene.pos,24
EWAS18,AdaPT,cpg.loc,202
EWAS18,AdaPT,chr,67
EWAS18,AdaPT,dhs,247
EWAS18,AdaPT,probe.type,169
EWAS18,BL,sd.b,236
EWAS18,BL,sd.m,236
EWAS18,BL,mean,231
EWAS18,BL,mad,238
EWAS18,BL,dip,243
EWAS18,BL,precision,233
EWAS18,BL,direction,227
EWAS18,BL,refgene.pos,227
EWAS18,BL,cpg.loc,230
EWAS18,BL,chr,227
EWAS18,BL,dhs,227
EWAS18,BL,probe.type,228
EWAS19,IHW,sd.b,2138
EWAS19,IHW,sd.m,2193
EWAS19,IHW,mean,2368
EWAS19,IHW,mad,1853
EWAS19,IHW,dip,1811
EWAS19,IHW,precision,2064
EWAS19,IHW,direction,2203
EWAS19,IHW,refgene.pos,2027
EWAS19,IHW,cpg.loc,2530
EWAS19,IHW,chr,1729
EWAS19,IHW,dhs,1779
EWAS19,IHW,probe.type,2092
EWAS19,CAMT,sd.b,2167
EWAS19,CAMT,sd.m,2442
EWAS19,CAMT,mean,2423
EWAS19,CAMT,mad,1874
EWAS19,CAMT,dip,1889
EWAS19,CAMT,precision,2173
EWAS19,CAMT,direction,2347
EWAS19,CAMT,refgene.pos,2167
EWAS19,CAMT,cpg.loc,2832
EWAS19,CAMT,chr,1781
EWAS19,CAMT,dhs,1763
EWAS19,CAMT,probe.type,2136
EWAS19,FDRreg,sd.b,1818
EWAS19,FDRreg,sd.m,1819
EWAS19,FDRreg,mean,1820
EWAS19,FDRreg,mad,1809
EWAS19,FDRreg,dip,1811
EWAS19,FDRreg,precision,1816
EWAS19,FDRreg,direction,1817
EWAS19,FDRreg,refgene.pos,1814
EWAS19,FDRreg,cpg.loc,1828
EWAS19,FDRreg,chr,1807
EWAS19,FDRreg,dhs,1808
EWAS19,FDRreg,probe.type,1816
EWAS19,AdaPT,sd.b,853
EWAS19,AdaPT,sd.m,1162
EWAS19,AdaPT,mean,1677
EWAS19,AdaPT,mad,346
EWAS19,AdaPT,dip,540
EWAS19,AdaPT,precision,948
EWAS19,AdaPT,direction,2296
EWAS19,AdaPT,refgene.pos,1004
EWAS19,AdaPT,cpg.loc,2774
EWAS19,AdaPT,chr,431
EWAS19,AdaPT,dhs,610
EWAS19,AdaPT,probe.type,1829
EWAS19,BL,sd.b,1810
EWAS19,BL,sd.m,1810
EWAS19,BL,mean,1801
EWAS19,BL,mad,1783
EWAS19,BL,dip,1776
EWAS19,BL,precision,1809
EWAS19,BL,direction,1798
EWAS19,BL,refgene.pos,1791
EWAS19,BL,cpg.loc,1848
EWAS19,BL,chr,1772
EWAS19,BL,dhs,1770
EWAS19,BL,probe.type,1817
EWAS20,IHW,sd.b,90
EWAS20,IHW,sd.m,79
EWAS20,IHW,mean,93
EWAS20,IHW,mad,94
EWAS20,IHW,dip,77
EWAS20,IHW,precision,81
EWAS20,IHW,refgene.pos,81
EWAS20,IHW,cpg.loc,79
EWAS20,IHW,chr,81
EWAS20,IHW,dhs,81
EWAS20,IHW,probe.type,78
EWAS20,CAMT,sd.b,86
EWAS20,CAMT,sd.m,80
EWAS20,CAMT,mean,104
EWAS20,CAMT,mad,80
EWAS20,CAMT,dip,80
EWAS20,CAMT,precision,90
EWAS20,CAMT,refgene.pos,80
EWAS20,CAMT,cpg.loc,76
EWAS20,CAMT,chr,83
EWAS20,CAMT,dhs,79
EWAS20,CAMT,probe.type,80
EWAS20,FDRreg,sd.b,83
EWAS20,FDRreg,sd.m,83
EWAS20,FDRreg,mean,83
EWAS20,FDRreg,mad,83
EWAS20,FDRreg,dip,83
EWAS20,FDRreg,precision,83
EWAS20,FDRreg,refgene.pos,83
EWAS20,FDRreg,cpg.loc,83
EWAS20,FDRreg,chr,83
EWAS20,FDRreg,dhs,83
EWAS20,FDRreg,probe.type,83
EWAS20,AdaPT,sd.b,28
EWAS20,AdaPT,sd.m,0
EWAS20,AdaPT,mean,43
EWAS20,AdaPT,mad,26
EWAS20,AdaPT,dip,0
EWAS20,AdaPT,precision,74
EWAS20,AdaPT,refgene.pos,21
EWAS20,AdaPT,cpg.loc,0
EWAS20,AdaPT,chr,0
EWAS20,AdaPT,dhs,23
EWAS20,AdaPT,probe.type,68
EWAS20,BL,sd.b,81
EWAS20,BL,sd.m,81
EWAS20,BL,mean,81
EWAS20,BL,mad,81
EWAS20,BL,dip,81
EWAS20,BL,precision,81
EWAS20,BL,refgene.pos,81
EWAS20,BL,cpg.loc,81
EWAS20,BL,chr,81
EWAS20,BL,dhs,81
EWAS20,BL,probe.type,81
EWAS21,IHW,sd.b,0
EWAS21,IHW,sd.m,0
EWAS21,IHW,mean,0
EWAS21,IHW,mad,0
EWAS21,IHW,dip,0
EWAS21,IHW,precision,0
EWAS21,IHW,direction,0
EWAS21,IHW,refgene.pos,0
EWAS21,IHW,cpg.loc,0
EWAS21,IHW,chr,0
EWAS21,IHW,dhs,0
EWAS21,IHW,probe.type,0
EWAS21,CAMT,sd.b,0
EWAS21,CAMT,sd.m,0
EWAS21,CAMT,mean,0
EWAS21,CAMT,mad,0
EWAS21,CAMT,dip,0
EWAS21,CAMT,precision,0
EWAS21,CAMT,direction,0
EWAS21,CAMT,refgene.pos,0
EWAS21,CAMT,cpg.loc,0
EWAS21,CAMT,chr,0
EWAS21,CAMT,dhs,0
EWAS21,CAMT,probe.type,2
EWAS21,FDRreg,sd.b,0
EWAS21,FDRreg,sd.m,0
EWAS21,FDRreg,mean,0
EWAS21,FDRreg,mad,0
EWAS21,FDRreg,dip,0
EWAS21,FDRreg,precision,0
EWAS21,FDRreg,direction,0
EWAS21,FDRreg,refgene.pos,0
EWAS21,FDRreg,cpg.loc,0
EWAS21,FDRreg,chr,0
EWAS21,FDRreg,dhs,0
EWAS21,FDRreg,probe.type,0
EWAS21,AdaPT,sd.b,0
EWAS21,AdaPT,sd.m,0
EWAS21,AdaPT,mean,0
EWAS21,AdaPT,mad,0
EWAS21,AdaPT,dip,0
EWAS21,AdaPT,precision,0
EWAS21,AdaPT,direction,0
EWAS21,AdaPT,refgene.pos,0
EWAS21,AdaPT,cpg.loc,0
EWAS21,AdaPT,chr,0
EWAS21,AdaPT,dhs,0
EWAS21,AdaPT,probe.type,0
EWAS21,BL,sd.b,0
EWAS21,BL,sd.m,0
EWAS21,BL,mean,0
EWAS21,BL,mad,0
EWAS21,BL,dip,0
EWAS21,BL,precision,5
EWAS21,BL,direction,0
EWAS21,BL,refgene.pos,0
EWAS21,BL,cpg.loc,0
EWAS21,BL,chr,0
EWAS21,BL,dhs,0
EWAS21,BL,probe.type,0
EWAS22,IHW,sd.b,110
EWAS22,IHW,sd.m,68
EWAS22,IHW,mean,132
EWAS22,IHW,mad,96
EWAS22,IHW,dip,62
EWAS22,IHW,precision,99
EWAS22,IHW,direction,88
EWAS22,IHW,refgene.pos,68
EWAS22,IHW,cpg.loc,69
EWAS22,IHW,chr,52
EWAS22,IHW,dhs,72
EWAS22,IHW,probe.type,68
EWAS22,CAMT,sd.b,172
EWAS22,CAMT,sd.m,67
EWAS22,CAMT,mean,164
EWAS22,CAMT,mad,165
EWAS22,CAMT,dip,76
EWAS22,CAMT,precision,174
EWAS22,CAMT,direction,78
EWAS22,CAMT,refgene.pos,83
EWAS22,CAMT,cpg.loc,57
EWAS22,CAMT,chr,62
EWAS22,CAMT,dhs,76
EWAS22,CAMT,probe.type,79
EWAS22,FDRreg,sd.b,73
EWAS22,FDRreg,sd.m,72
EWAS22,FDRreg,mean,73
EWAS22,FDRreg,mad,73
EWAS22,FDRreg,dip,72
EWAS22,FDRreg,precision,74
EWAS22,FDRreg,direction,73
EWAS22,FDRreg,refgene.pos,72
EWAS22,FDRreg,cpg.loc,72
EWAS22,FDRreg,chr,72
EWAS22,FDRreg,dhs,72
EWAS22,FDRreg,probe.type,72
EWAS22,AdaPT,sd.b,155
EWAS22,AdaPT,sd.m,0
EWAS22,AdaPT,mean,63
EWAS22,AdaPT,mad,162
EWAS22,AdaPT,dip,84
EWAS22,AdaPT,precision,0
EWAS22,AdaPT,direction,0
EWAS22,AdaPT,refgene.pos,0
EWAS22,AdaPT,cpg.loc,0
EWAS22,AdaPT,chr,0
EWAS22,AdaPT,dhs,72
EWAS22,AdaPT,probe.type,0
EWAS22,BL,sd.b,76
EWAS22,BL,sd.m,75
EWAS22,BL,mean,76
EWAS22,BL,mad,76
EWAS22,BL,dip,75
EWAS22,BL,precision,76
EWAS22,BL,direction,75
EWAS22,BL,refgene.pos,75
EWAS22,BL,cpg.loc,75
EWAS22,BL,chr,75
EWAS22,BL,dhs,75
EWAS22,BL,probe.type,75
EWAS23,IHW,sd.b,10
EWAS23,IHW,sd.m,12
EWAS23,IHW,mean,10
EWAS23,IHW,mad,18
EWAS23,IHW,dip,18
EWAS23,IHW,precision,15
EWAS23,IHW,direction,15
EWAS23,IHW,refgene.pos,15
EWAS23,IHW,cpg.loc,18
EWAS23,IHW,chr,16
EWAS23,IHW,dhs,15
EWAS23,IHW,probe.type,16
EWAS23,CAMT,sd.b,4
EWAS23,CAMT,sd.m,8
EWAS23,CAMT,mean,25
EWAS23,CAMT,mad,12
EWAS23,CAMT,dip,19
EWAS23,CAMT,precision,4
EWAS23,CAMT,direction,9
EWAS23,CAMT,refgene.pos,20
EWAS23,CAMT,cpg.loc,12
EWAS23,CAMT,chr,23
EWAS23,CAMT,dhs,19
EWAS23,CAMT,probe.type,19
EWAS23,FDRreg,sd.b,4
EWAS23,FDRreg,sd.m,4
EWAS23,FDRreg,mean,4
EWAS23,FDRreg,mad,4
EWAS23,FDRreg,dip,4
EWAS23,FDRreg,precision,4
EWAS23,FDRreg,direction,4
EWAS23,FDRreg,refgene.pos,4
EWAS23,FDRreg,cpg.loc,4
EWAS23,FDRreg,chr,4
EWAS23,FDRreg,dhs,4
EWAS23,FDRreg,probe.type,4
EWAS23,AdaPT,sd.b,0
EWAS23,AdaPT,sd.m,0
EWAS23,AdaPT,mean,0
EWAS23,AdaPT,mad,0
EWAS23,AdaPT,dip,0
EWAS23,AdaPT,precision,0
EWAS23,AdaPT,direction,0
EWAS23,AdaPT,refgene.pos,0
EWAS23,AdaPT,cpg.loc,0
EWAS23,AdaPT,chr,0
EWAS23,AdaPT,dhs,22
EWAS23,AdaPT,probe.type,41
EWAS23,BL,sd.b,19
EWAS23,BL,sd.m,19
EWAS23,BL,mean,19
EWAS23,BL,mad,19
EWAS23,BL,dip,19
EWAS23,BL,precision,19
EWAS23,BL,direction,19
EWAS23,BL,refgene.pos,19
EWAS23,BL,cpg.loc,19
EWAS23,BL,chr,19
EWAS23,BL,dhs,19
EWAS23,BL,probe.type,19
EWAS24,IHW,sd.b,23779
EWAS24,IHW,sd.m,21643
EWAS24,IHW,mean,24385
EWAS24,IHW,mad,24220
EWAS24,IHW,dip,20417
EWAS24,IHW,precision,22903
EWAS24,IHW,direction,19508
EWAS24,IHW,refgene.pos,20188
EWAS24,IHW,cpg.loc,20567
EWAS24,IHW,chr,19622
EWAS24,IHW,dhs,19520
EWAS24,IHW,probe.type,19837
EWAS24,CAMT,sd.b,32202
EWAS24,CAMT,sd.m,26281
EWAS24,CAMT,mean,33149
EWAS24,CAMT,mad,33508
EWAS24,CAMT,dip,24478
EWAS24,CAMT,precision,29882
EWAS24,CAMT,direction,21974
EWAS24,CAMT,refgene.pos,24111
EWAS24,CAMT,cpg.loc,24421
EWAS24,CAMT,chr,22724
EWAS24,CAMT,dhs,22749
EWAS24,CAMT,probe.type,23629
EWAS24,FDRreg,sd.b,23664
EWAS24,FDRreg,sd.m,22663
EWAS24,FDRreg,mean,23764
EWAS24,FDRreg,mad,23646
EWAS24,FDRreg,dip,22331
EWAS24,FDRreg,precision,23335
EWAS24,FDRreg,direction,22087
EWAS24,FDRreg,refgene.pos,22320
EWAS24,FDRreg,cpg.loc,22445
EWAS24,FDRreg,chr,22116
EWAS24,FDRreg,dhs,22092
EWAS24,FDRreg,probe.type,22184
EWAS24,AdaPT,sd.b,32127
EWAS24,AdaPT,sd.m,26217
EWAS24,AdaPT,mean,33450
EWAS24,AdaPT,mad,33171
EWAS24,AdaPT,dip,24197
EWAS24,AdaPT,precision,29887
EWAS24,AdaPT,direction,22099
EWAS24,AdaPT,refgene.pos,23304
EWAS24,AdaPT,cpg.loc,22970
EWAS24,AdaPT,chr,22564
EWAS24,AdaPT,dhs,22723
EWAS24,AdaPT,probe.type,22805
EWAS24,BL,sd.b,26654
EWAS24,BL,sd.m,24379
EWAS24,BL,mean,27028
EWAS24,BL,mad,26655
EWAS24,BL,dip,23831
EWAS24,BL,precision,25757
EWAS24,BL,direction,22668
EWAS24,BL,refgene.pos,23366
EWAS24,BL,cpg.loc,23538
EWAS24,BL,chr,22663
EWAS24,BL,dhs,22589
EWAS24,BL,probe.type,23125
EWAS25,IHW,sd.b,24
EWAS25,IHW,sd.m,27
EWAS25,IHW,mean,47
EWAS25,IHW,mad,42
EWAS25,IHW,dip,27
EWAS25,IHW,precision,27
EWAS25,IHW,direction,40
EWAS25,IHW,refgene.pos,33
EWAS25,IHW,cpg.loc,55
EWAS25,IHW,chr,21
EWAS25,IHW,dhs,34
EWAS25,IHW,probe.type,38
EWAS25,CAMT,sd.b,14
EWAS25,CAMT,sd.m,7
EWAS25,CAMT,mean,14
EWAS25,CAMT,mad,8
EWAS25,CAMT,dip,7
EWAS25,CAMT,precision,11
EWAS25,CAMT,direction,6
EWAS25,CAMT,refgene.pos,42
EWAS25,CAMT,cpg.loc,15
EWAS25,CAMT,chr,18
EWAS25,CAMT,dhs,8
EWAS25,CAMT,probe.type,8
EWAS25,FDRreg,sd.b,32
EWAS25,FDRreg,sd.m,32
EWAS25,FDRreg,mean,32
EWAS25,FDRreg,mad,32
EWAS25,FDRreg,dip,32
EWAS25,FDRreg,precision,32
EWAS25,FDRreg,direction,32
EWAS25,FDRreg,refgene.pos,32
EWAS25,FDRreg,cpg.loc,32
EWAS25,FDRreg,chr,32
EWAS25,FDRreg,dhs,32
EWAS25,FDRreg,probe.type,32
