dataset,BH,ST,pi0
EWAS1,139,155,0.905
EWAS2,4,4,0.97
EWAS3,0,0,0.979
EWAS4,4032,4960,0.811
EWAS5,4184,6426,0.737
EWAS6,0,0,0.996
EWAS7,9,9,0.949
EWAS8,47,47,0.992
EWAS9,1,1,0.936
EWAS10,1,1,0.963
EWAS11,1,1,0.996
EWAS12,21,21,0.974
EWAS13,2,2,0.935
EWAS14,71236,80225,0.657
EWAS15,1,1,0.982
EWAS16,40,40,0.956
EWAS17,3821,4361,0.842
EWAS18,227,227,0.983
EWAS19,1765,1765,0.988
EWAS20,81,81,0.983
EWAS21,0,0,0.992
EWAS22,75,75,0.929
EWAS23,18,19,0.956
EWAS24,19553,22580,0.803
EWAS25,30,31,0.945
EWAS26,14,28,0.924
EWAS27,691,775,0.89
EWAS28,495,539,0.906
EWAS29,26,26,0.975
EWAS30,6,6,0.978
EWAS31,149,160,0.932
EWAS32,1216,1418,0.866
EWAS33,1456,1805,0.804
EWAS34,10,10,0.969
EWAS35,134,134,0.984
EWAS36,0,0,0.923
EWAS37,3995,4426,0.853
EWAS38,0,0,0.999
EWAS39,22,23,0.954
EWAS40,19,19,0.998
EWAS41,80,90,0.891
EWAS42,70,90,0.908
EWAS43,3963,4563,0.855
EWAS44,0,0,0.975
EWAS45,390,425,0.901
EWAS46,2,2,0.999
EWAS47,16,16,0.917
EWAS48,1,1,0.939
EWAS49,15,15,0.916
EWAS50,31710,35607,0.747
EWAS51,725,854,0.872
EWAS52,0,0,0.973
EWAS53,0,0,0.981
EWAS54,30,32,0.981
EWAS55,1,2,0.96
EWAS56,1399,1603,0.875
EWAS57,123,123,0.97
EWAS58,0,0,0.966
EWAS59,504,632,0.841
EWAS60,10021,12447,0.776
EWAS61,324,367,0.897